asset,scheme,scheme_id,sample_index,date,pred_class_name,true_class_name,correct,row_index,row_name,row_type,mean_abs_shap,group,symbol
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,18,Purchasing Power of Peso,macro,0.00805746563514731,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,6,TripleEMA,technical,0.007633451133733616,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,15,Oil,macro,0.006458572007250041,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,7,CCI,technical,0.005359136583501822,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,16,Gold,macro,0.0047862125175015535,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,2,SMA,technical,0.00465644673568022,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,19,Reverse Repurchase Rate (RRP),macro,0.004535280354321003,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,3,EMA,technical,0.003949418583033548,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,8,CMO,technical,0.003559778703856864,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,12,CMFI,technical,0.003555972072354052,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,4,WMA,technical,0.0032435063505545257,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,5,HMA,technical,0.003093018063918862,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,13,DMI,technical,0.0024488573602866382,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,0,RSI,technical,0.0013353971698961686,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,9,MACD,technical,0.0008919128427805845,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,10,PPO,technical,0.0008195144258365872,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2671,2023-05-03,Hold,Hold,True,11,ROC,technical,0.0007725127616140526,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2707,2023-06-23,Hold,Hold,True,1,WilliamsR,technical,0.017723924241727217,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2707,2023-06-23,Hold,Hold,True,18,Purchasing Power of Peso,macro,0.009118625985865946,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2707,2023-06-23,Hold,Hold,True,19,Reverse Repurchase Rate (RRP),macro,0.007037897070404142,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2707,2023-06-23,Hold,Hold,True,7,CCI,technical,0.006746214792656247,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2707,2023-06-23,Hold,Hold,True,13,DMI,technical,0.005398048571078107,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2707,2023-06-23,Hold,Hold,True,3,EMA,technical,0.004985628977010492,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2707,2023-06-23,Hold,Hold,True,15,Oil,macro,0.004718393577786628,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2707,2023-06-23,Hold,Hold,True,17,Inflation Rate,macro,0.004142297058569966,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2707,2023-06-23,Hold,Hold,True,2,SMA,technical,0.004006586799368961,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2707,2023-06-23,Hold,Hold,True,8,CMO,technical,0.0038936260192713235,Blue chip stocks,SMI
Blue chip stocks:SMI,BCV-PU,loocv_undersampled_ratio2.0,2707,2023-06-23,Hold,Hold,True,4,WMA,technical,0.00345863321563229,Blue chip stocks,SMI
